Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,9,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,8,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,4,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15-24 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,2,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,485,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,421,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,433,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,375,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,316,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,318,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,25-29 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,278,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,3710,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,3402,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,3044,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,2726,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,2026,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,2171,,27_385_DF_DCIS_DIVORDEMCONG_5
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,30-34 anni,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,1961,,27_385_DF_DCIS_DIVORDEMCONG_5
