Frequenza,Territorio,Indicatore,Rito di esaurimento,Periodo tra la separazione e l'iscrizione a ruolo del procedimento,Modalità di esaurimento,Con figli affidati,Durata del matrimonio,Anno di matrimonio,Numero di figli,Coniuge che ha presentato la domanda di divorzio con rito giudiziale,Tipo di affidamento,Numero di figli affidati,Età dei figli affidati,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2012,2019,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2013,2118,,27_814_DF_DCIS_DIVFIG_10
annuale,Nord-ovest,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,moglie,totale,totale,totale,2014,2020,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2008,5816,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2009,5514,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2010,5086,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2011,5097,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2012,5288,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2013,4747,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,tutte le voci,totale,totale,totale,2014,5288,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2008,43,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2009,36,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2010,45,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2011,39,,27_814_DF_DCIS_DIVFIG_10
annuale,Piemonte,divorzi concessi,totale,totale,totale,totale,totale,tutte le voci,totale,entrambi,totale,totale,totale,2012,31,,27_814_DF_DCIS_DIVFIG_10
