Frequenza,Territorio,Indicatore,Luogo di nascita del marito,Luogo di nascita della moglie,Luogo di residenza del marito,Luogo di residenza della moglie,Classe di età del marito al divorzio,Classe di età della moglie al divorzio,Classe di età del marito al matrimonio,Classe di età della moglie al matrimonio,Anno di matrimonio,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2012,4320,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2013,4648,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,30-34 anni,15 anni e più,15 anni e più,tutte le voci,2014,4222,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2008,12352,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2009,11825,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2010,11314,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2011,10674,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2012,8960,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2013,9459,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,35-39 anni,15 anni e più,15 anni e più,tutte le voci,2014,8938,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2008,12492,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2009,12468,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2010,12098,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2011,12006,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2012,10737,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2013,11414,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,40-44 anni,15 anni e più,15 anni e più,tutte le voci,2014,11258,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2008,8668,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2009,9261,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2010,9686,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2011,10329,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2012,10640,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2013,10822,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,45-49 anni,15 anni e più,15 anni e più,tutte le voci,2014,10722,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2008,5310,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2009,5467,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2010,5968,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2011,6376,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2012,7043,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2013,7275,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,50-54 anni,15 anni e più,15 anni e più,tutte le voci,2014,7805,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2008,2987,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2009,3238,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2010,3429,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2011,3495,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2012,4147,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2013,3999,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,15 anni e più,55-59 anni,15 anni e più,15 anni e più,tutte le voci,2014,4137,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2008,5202,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2009,5763,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2010,6207,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2011,6233,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2012,7049,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2013,6863,,27_385_DF_DCIS_DIVORDEMCONG_4
annuale,Italia,divorzi concessi,Totale,Totale,Totale,Totale,60 anni e più,15 anni e più,15 anni e più,15 anni e più,tutte le voci,2014,6999,,27_385_DF_DCIS_DIVORDEMCONG_4
