Frequenza,Territorio,Indicatore,TIME_PERIOD,VALUE,OBS_STATUS,SOURCE
annuale,Italia,numero di separazioni esaurite con rito consensuale,2014,75185,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,tasso di separazione rispetto agli abitanti (valori per mille),2007,1.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,tasso di separazione rispetto agli abitanti (valori per mille),2008,1.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,tasso di separazione rispetto agli abitanti (valori per mille),2009,1.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,tasso di separazione rispetto agli abitanti (valori per mille),2010,1.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,tasso di separazione rispetto agli abitanti (valori per mille),2011,1.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,tasso di separazione rispetto agli abitanti (valori per mille),2012,1.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,tasso di separazione rispetto agli abitanti (valori per mille),2013,1.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Italia,tasso di separazione rispetto agli abitanti (valori per mille),2014,1.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione giudiziale (in giorni),2007,807,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione giudiziale (in giorni),2008,769,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione giudiziale (in giorni),2009,756,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione giudiziale (in giorni),2010,753,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione giudiziale (in giorni),2011,745,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione giudiziale (in giorni),2012,734,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione giudiziale (in giorni),2013,713,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione giudiziale (in giorni),2014,643,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione consensuale (in giorni),2007,145,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione consensuale (in giorni),2008,155,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione consensuale (in giorni),2009,143,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione consensuale (in giorni),2010,128,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione consensuale (in giorni),2011,131,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione consensuale (in giorni),2012,123,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione consensuale (in giorni),2013,122,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,durata media del procedimento di separazione consensuale (in giorni),2014,114,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni esaurite con rito consensuale (valori percentuali),2007,90,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni esaurite con rito consensuale (valori percentuali),2008,89.9,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni esaurite con rito consensuale (valori percentuali),2009,88.3,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni esaurite con rito consensuale (valori percentuali),2010,88.3,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni esaurite con rito consensuale (valori percentuali),2011,86.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni esaurite con rito consensuale (valori percentuali),2012,87.3,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni esaurite con rito consensuale (valori percentuali),2013,86.1,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni esaurite con rito consensuale (valori percentuali),2014,87,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse,2007,25253,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse,2008,25414,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse,2009,25826,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse,2010,26142,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse,2011,25589,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse,2012,24864,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse,2013,24594,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse,2014,24819,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse rispetto ai coniugati (valori per centomila),2007,318.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse rispetto ai coniugati (valori per centomila),2008,318.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse rispetto ai coniugati (valori per centomila),2009,324,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse rispetto ai coniugati (valori per centomila),2010,328.3,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse rispetto ai coniugati (valori per centomila),2011,327.1,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse rispetto ai coniugati (valori per centomila),2012,323.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse rispetto ai coniugati (valori per centomila),2013,318.1,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,separazioni concesse rispetto ai coniugati (valori per centomila),2014,320.3,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,numero di separazioni esaurite con rito consensuale,2007,22730,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,numero di separazioni esaurite con rito consensuale,2008,22846,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,numero di separazioni esaurite con rito consensuale,2009,22813,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,numero di separazioni esaurite con rito consensuale,2010,23082,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,numero di separazioni esaurite con rito consensuale,2011,22128,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,numero di separazioni esaurite con rito consensuale,2012,21701,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,numero di separazioni esaurite con rito consensuale,2013,21184,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,numero di separazioni esaurite con rito consensuale,2014,21600,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,tasso di separazione rispetto agli abitanti (valori per mille),2007,1.6,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,tasso di separazione rispetto agli abitanti (valori per mille),2008,1.6,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,tasso di separazione rispetto agli abitanti (valori per mille),2009,1.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,tasso di separazione rispetto agli abitanti (valori per mille),2010,1.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,tasso di separazione rispetto agli abitanti (valori per mille),2011,1.6,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,tasso di separazione rispetto agli abitanti (valori per mille),2012,1.6,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,tasso di separazione rispetto agli abitanti (valori per mille),2013,1.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Nord-ovest,tasso di separazione rispetto agli abitanti (valori per mille),2014,1.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione giudiziale (in giorni),2007,732,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione giudiziale (in giorni),2008,797,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione giudiziale (in giorni),2009,725,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione giudiziale (in giorni),2010,785,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione giudiziale (in giorni),2011,798,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione giudiziale (in giorni),2012,741,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione giudiziale (in giorni),2013,756,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione giudiziale (in giorni),2014,657,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione consensuale (in giorni),2007,165,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione consensuale (in giorni),2008,161,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione consensuale (in giorni),2009,146,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione consensuale (in giorni),2010,138,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione consensuale (in giorni),2011,159,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione consensuale (in giorni),2012,150,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione consensuale (in giorni),2013,156,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,durata media del procedimento di separazione consensuale (in giorni),2014,115,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni esaurite con rito consensuale (valori percentuali),2007,91,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni esaurite con rito consensuale (valori percentuali),2008,90.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni esaurite con rito consensuale (valori percentuali),2009,87.8,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni esaurite con rito consensuale (valori percentuali),2010,88.4,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni esaurite con rito consensuale (valori percentuali),2011,86.7,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni esaurite con rito consensuale (valori percentuali),2012,86.9,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni esaurite con rito consensuale (valori percentuali),2013,86.5,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni esaurite con rito consensuale (valori percentuali),2014,84.9,,27_349_DF_DCIS_SEPARAZIND_1
annuale,Piemonte,separazioni concesse,2007,7391,,27_349_DF_DCIS_SEPARAZIND_1
